STI,CMDB ID,Application Name,SOA Applicable,SOA Status,ESS Self-Assessment Status,ESS Assessment URL,PIA Status,PIA Assessment URL,DPQ Complete,SIA Status,Criticality Tier,Data Classification,Install Status,Collection Method,Collection Date,Status
OSL-001,OSL-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.253640,Pending Collection
PIPE-003,PIPE-003,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.253644,Pending Collection
PROD-005,PROD-005,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.254881,Pending Collection
PSIC-001,PSIC-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.254887,Pending Collection
PUBD-001,PUBD-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.254889,Pending Collection
PULP-003,PULP-003,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.254892,Pending Collection
PXS-001,PXS-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.254893,Pending Collection
RCM-002,RCM-002,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.254895,Pending Collection
RCM-013,RCM-013,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.254897,Pending Collection
RCMC-003,RCMC-003,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.254899,Pending Collection
RCME-001,RCME-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.254901,Pending Collection
RCMR-001,RCMR-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.254902,Pending Collection
